species	Log_M	Log_W	Log_FA	Log_Warea	Log_Vmp	Log_min_power	Log_min_power_chem	Log_avail_pow	Log_min_CoT	Log_inv_CoT	Log_Vbg	Log_min_Vz	Log_min_turn_r	LAD	FAD	In_A_Clade	No_Birds
Alanqa_saharica	1.787349876	0.77815125	-0.59043137	0.516185959	1.253103617	2.919275319	3.604611363	3.499245868	0.471374731	-0.471374731	1.266051968	-0.007974094	1.218031564	96.95	96.95	1	0
Angustinaripterus_longicephalus	0.220649013	0.204119983	-1.391897964	-0.588495394	1.032939155	1.169517866	1.879771976	2.122115812	0.517800779	-0.517800777	1.046764447	-0.204470441	0.750411458	165	169	0	1
Anhanguera_araripensis	1.274777418	0.672097858	-1.160590686	0.123067037	1.148123817	2.136407872	2.830908696	3.048694675	0.318067703	-0.3180677	1.158142859	-0.21747336	1.067874396	106.5	106.5	0	0
Anhanguera_blittersdorffi	1.133874559	0.618048097	-1.259212642	0.023093122	1.129690744	1.983932933	2.680788418	2.924841069	0.326443426	-0.326443427	1.139834207	-0.231704651	1.024980674	106.5	106.5	0	0
Anhanguera_piscator	1.078456818	0.603144373	-1.293281206	-0.015922966	1.119187902	1.909694532	2.607934413	2.876128894	0.319915571	-0.319915434	1.128722284	-0.247695509	1.008330996	106.5	106.5	0	0
Anhanguera_santanae	1.130511893	0.618048097	-1.286509457	0.020132306	1.128749619	1.977033233	2.674054622	2.921885281	0.324173268	-0.324173263	1.138868708	-0.23433411	1.024439287	106.5	106.5	0	0
Anurognathus_ammoni	-1.397940009	-0.455931956	-3.338993476	-1.795880017	0.855516793	-0.516899614	0.28743175	0.699376054	0.69231531	-0.69231531	0.872156273	-0.314376925	0.388723233	148.5	148.5	0	0
Arambourgiania_philadelphiae	2.661030105	1.096910013	0.21940897	1.235654126	1.350697315	3.964881738	4.646229023	4.267210791	0.551487438	-0.551487437	1.365022592	0.136464132	1.385781583	69.05	69.05	1	0
Ardeadactylus_longicollum	0.295640728	0.204119983	-1.771534807	-0.533670381	1.056728764	1.320779208	2.024260778	2.18803353	0.560150116	-0.560150118	1.071315074	-0.147999894	0.791200836	148.5	154.5	0	1
Austriadactylus_cristatus	0.030641679	0.079181246	-1.695095906	-0.724035551	1.034289902	1.092790182	1.799605451	1.955099369	0.616651317	-0.616651319	1.04939892	-0.134532206	0.7423563	207.3	218.5	0	1
Azhdarcho_lancicollis	1.714136415	0.740362689	-0.515459751	0.523976587	1.233443515	2.901964266	3.586585043	3.434891238	0.533086719	-0.533086717	1.247791436	0.01996467	1.148766034	91.85	91.85	1	0
Bakonydraco_galaczi	1.21600924	0.574031268	-0.974481246	0.121031007	1.168282022	2.27500973	2.965538823	2.997037447	0.479734653	-0.479734651	1.181386436	-0.085635756	1.041014243	84.95	84.95	1	0
