ptero_taxa;family;suborder;Input for unidentified;two groups
Aerotitan_sudamericanus;Azhdarchidae;Azhdarchoidea;;Azhdarchoidea
Aetodactylus_halli;Ornithocheiridae;Ornithocheiroidea;;Pteranodontoidea
Alamodactylus_byrdi;NO_FAMILY_SPECIFIED;Pterodactyloidea;Pteranodontia;Pteranodontoidea
Alanqa_saharica;Azhdarchidae;;;Azhdarchoidea
Alcione_elainus;NO_FAMILY_SPECIFIED;Pterodactyloidea;Pteranodontia;Pteranodontoidea
Anhanguera_araripensis;NO_FAMILY_SPECIFIED;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea
Anhanguera_blittersdorffi;NO_FAMILY_SPECIFIED;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea
Anhanguera_piscator;NO_FAMILY_SPECIFIED;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea
Anhanguera_santanae;NO_FAMILY_SPECIFIED;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea
Arambourgiania_philadelphiae;Azhdarchidae;;;Azhdarchoidea
Aurorazhdarcho_primordius;Protazhdarchidae;;;Azhdarchoidea
Azhdarcho_lancicollis;Azhdarchidae;;;Azhdarchoidea
Bakonydraco_galaczi;Azhdarchidae;;;Azhdarchoidea
Bennettazhia_oregonensis;Azhdarchidae;;;Azhdarchoidea
Brasileodactylus_araripensis;NO_FAMILY_SPECIFIED;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea
Caiuajara_dobruskii;Tapejaridae;Azhdarchoidea;;Azhdarchoidea
Cearadactylus_atrox;NO_FAMILY_SPECIFIED;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea
Chaoyangopterus_zhangi;Azhdarchidae;;;Azhdarchoidea
Cimoliopterus_cuvieri;NO_FAMILY_SPECIFIED;Ornithocheiroidea;Pteranodontoidea;Pteranodontoidea
Cimoliopterus_dunni;NO_FAMILY_SPECIFIED;Ornithocheiroidea;Pteranodontoidea;Pteranodontoidea
Coloborhynchus_clavirostris;Anhangueridae;Ornithocheiroidea;;Pteranodontoidea
Cretornis_hlavaci;NO_FAMILY_SPECIFIED;Pterodactyloidea;Azhdarchoidea;Azhdarchoidea
Domeykodactylus_ceciliae;Dsungaripteridae;Azhdarchoidea;;Azhdarchoidea
Dsungaripterus_weii;Dsungaripteridae;;;Azhdarchoidea
Eoazhdarcho_liaoxiensis;Azhdarchidae;;;Azhdarchoidea
Eopteranodon_lii;NO_FAMILY_SPECIFIED;Pterosauria;Azhdarchoidea;Azhdarchoidea
Eurazhdarcho_langendorfensis;Azhdarchidae;;;Azhdarchoidea
Europejara_olcadesorum;NO_FAMILY_SPECIFIED;Pterodactyloidea;Azhdarchoidea;Azhdarchoidea
Guidraco_venator;NO_FAMILY_SPECIFIED;Pteranodontia;Ornithocheiroidea;Pteranodontoidea
Haopterus_gracilis;Mimodactylidae;Ornithocheiroidea;;Pteranodontoidea
Hongshanopterus_lacustris;NO_FAMILY_SPECIFIED;Ornithocheiroidea;Ornithocheiroidea;Pteranodontoidea
Huaxiapterus_benxiensis;Tapejaridae;;;Azhdarchoidea
Huaxiapterus_jii;Tapejaridae;;;Azhdarchoidea
Istiodactylus_latidens;NO_FAMILY_SPECIFIED;Pteranodontia;Ornithocheiroidea;Pteranodontoidea
Istiodactylus_sinensis;NO_FAMILY_SPECIFIED;Pteranodontia;Ornithocheiroidea;Pteranodontoidea
Jidapterus_edentus;Tapejaridae;;;Azhdarchoidea
Lacusovagus_magnificens;Chaoyangopteridae;Azhdarchoidea;;Azhdarchoidea
Liaoningopterus_gui;NO_FAMILY_SPECIFIED;Pteranodontia;Ornithocheiroidea;Pteranodontoidea
Liaoxipterus_brachyognathus;Istiodactylidae;Ornithocheiroidea;;Pteranodontoidea
Lonchodectes_compressirostris;NO_FAMILY_SPECIFIED;Pteranodontia;Ornithocheiroidea;Pteranodontoidea
Longchengpterus_zhaoi;NO_FAMILY_SPECIFIED;Pteranodontia;Ornithocheiroidea;Pteranodontoidea
