early_interval;stage;epoch
Aalenian;Toarcian;Middle Jurassic
Albian;Albian;Early Cretaceous
Late Albian;Albian;Early Cretaceous
Early Albian;Albian;Early Cretaceous
Middle Albian;Albian;Early Cretaceous
Late Aptian;Aptian;Early Cretaceous
Aptian;Aptian;Early Cretaceous
Early Aptian;Aptian;Early Cretaceous
Bajocian;Bajocian;Middle Jurassic
Late Barremian;Barremian;Early Cretaceous
Barremian;Barremian;Early Cretaceous
Early Barremian;Barremian;Early Cretaceous
Early Bathonian;Bathonian;Middle Jurassic
Late Bathonian;Bathonian;Middle Jurassic
Middle Bathonian;Bathonian;Middle Jurassic
Bathonian;Bathonian;Middle Jurassic
Berriasian;Berriasian;Early Cretaceous
Early Berriasian;Berriasian;Early Cretaceous
Late Berriasian;Berriasian;Early Cretaceous
Middle Berriasian;Berriasian;Early Cretaceous
Early Callovian;Callovian;Middle Jurassic
Callovian;Callovian;Middle Jurassic
Middle Callovian;Callovian;Middle Jurassic
Lancian;Callovian;Middle Jurassic
Late Callovian;Callovian;Middle Jurassic
Late Campanian;Campanian;Late Cretaceous
Middle Campanian;Campanian;Late Cretaceous
Campanian;Campanian;Late Cretaceous
Early Campanian;Campanian;Late Cretaceous
Carnian;Carnian;Late Triassic
Tuvalian;Carnian;Late Triassic
Early Cenomanian;Cenomanian;Late Cretaceous
Cenomanian;Cenomanian;Late Cretaceous
Late Cenomanian;Cenomanian;Late Cretaceous
Middle Cenomanian;Cenomanian;Late Cretaceous
Coniacian;Coniacian;Late Cretaceous
Late Coniacian;Coniacian;Late Cretaceous
Early Coniacian;Coniacian;Late Cretaceous
Late Hauterivian;Hauterivian;Early Cretaceous
Hauterivian;Hauterivian;Early Cretaceous
Early Hauterivian;Hauterivian;Early Cretaceous
Hettangian;Hettangian;Early Jurassic
Kimmeridgian;Kimmeridgian;Late Jurassic
Late Kimmeridgian;Kimmeridgian;Late Jurassic
Early Kimmeridgian;Kimmeridgian;Late Jurassic
Ladinian;Ladinian;Middle Triassic
Maastrichtian;Maastrichtian;Late Cretaceous
Late Maastrichtian;Maastrichtian;Late Cretaceous
Early Maastrichtian;Maastrichtian;Late Cretaceous
Early Cretaceous;NA;NA
Angulata;NA;NA
Falciferum;NA;NA
Neocomian;NA;NA
Early Jurassic;NA;NA
Late Triassic;NA;NA
Norian;Norian;Late Triassic
Alaunian;Norian;Late Triassic
Lacian;Norian;Late Triassic
Late Oxfordian;Oxfordian;Late Jurassic
Middle Oxfordian;Oxfordian;Late Jurassic
Oxfordian;Oxfordian;Late Jurassic
Pliensbachian;Pliensbachian;Early Jurassic
Rhaetian;Rhaetian;Late Triassic
Sevatian;Rhaetian;Late Triassic
Santonian;Santonian;Late Cretaceous
Early Santonian;Santonian;Late Cretaceous
Late Santonian;Santonian;Late Cretaceous
Sinemurian;Sinemurian;Early Jurassic
Late Tithonian;Tithonian;Late Jurassic
Tithonian;Tithonian;Late Jurassic
Early Tithonian;Tithonian;Late Jurassic
Middle Tithonian;Tithonian;Late Jurassic
Early Toarcian;Toarcian;Early Jurassic
Toarcian;Toarcian;Early Jurassic
Late Toarcian;Toarcian;Early Jurassic
Late Turonian;Turonian;Late Cretaceous
Middle Turonian;Turonian;Late Cretaceous
Turonian;Turonian;Late Cretaceous
Early Turonian;Turonian;Late Cretaceous
Valanginian;Valanginian;Early Cretaceous
Late Valanginian;Valanginian;Early Cretaceous
Early Valanginian;Valanginian;Early Cretaceous
