ptero_taxa;family;suborder;Input for unidentified;two groups;family.org
Aerotitan_sudamericanus;Azhdarchidae;Azhdarchoidea;;Azhdarchoidea;Azhdarchidae
Aetodactylus_halli;Ornithocheiridae;Ornithocheiroidea;;Pteranodontoidea;Ornithocheiridae
Alamodactylus_byrdi;Pteranodontia;Pterodactyloidea;Pteranodontia;Pteranodontoidea;NO_FAMILY_SPECIFIED
Alanqa_saharica;Azhdarchidae;;;Azhdarchoidea;Azhdarchidae
Alcione_elainus;Pteranodontia;Pterodactyloidea;Pteranodontia;Pteranodontoidea;NO_FAMILY_SPECIFIED
Allkaruen_koi;Macronychoptera;Pterosauria;Macronychoptera;;NO_FAMILY_SPECIFIED
Angustinaripterus_longicephalus;Rhamphorhynchidae;;;;Rhamphorhynchidae
Anhanguera_araripensis;Ornithocheiroidea;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Anhanguera_blittersdorffi;Ornithocheiroidea;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Anhanguera_piscator;Ornithocheiroidea;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Anhanguera_santanae;Ornithocheiroidea;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Anurognathus_ammoni;Anurognathidae;Macronychoptera;;;Anurognathidae
Arambourgiania_philadelphiae;Azhdarchidae;;;Azhdarchoidea;Azhdarchidae
Ardeadactylus_longicollum;Pterodactyloidea;;Pterodactyloidea;;NO_FAMILY_SPECIFIED
Aurorazhdarcho_primordius;Protazhdarchidae;;;Azhdarchoidea;Protazhdarchidae
Austriadactylus_cristatus;Pterosauria;;Pterosauria;;NO_FAMILY_SPECIFIED
Azhdarcho_lancicollis;Azhdarchidae;;;Azhdarchoidea;Azhdarchidae
Bakonydraco_galaczi;Azhdarchidae;;;Azhdarchoidea;Azhdarchidae
Batrachognathus_volans;Anurognathidae;;;;Anurognathidae
Beipiaopterus_chenianus;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Bennettazhia_oregonensis;Azhdarchidae;;;Azhdarchoidea;Azhdarchidae
Boreopterus_cuiae;Boreopteridae;Pterodactyloidea;;;Boreopteridae
Brasileodactylus_araripensis;Ornithocheiroidea;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Cacibupteryx_caribensis;Rhamphorhynchidae;;;;Rhamphorhynchidae
Caiuajara_dobruskii;Tapejaridae;Azhdarchoidea;;Azhdarchoidea;Tapejaridae
Campylognathoides_liasicus;Campylognathoididae;;;;Campylognathoididae
Campylognathoides_zitteli;Campylognathoididae;;;;Campylognathoididae
Caviramus_schesaplanensis;Pterosauria;;Pterosauria;;NO_FAMILY_SPECIFIED
Cearadactylus_atrox;Ornithocheiroidea;Pterodactyloidea, Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Changchengopterus_pani;Macronychoptera;Pterosauria;Macronychoptera;;NO_FAMILY_SPECIFIED
Chaoyangopterus_zhangi;Azhdarchidae;;;Azhdarchoidea;Azhdarchidae
Cimoliopterus_cuvieri;Pteranodontoidea;Ornithocheiroidea;Pteranodontoidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Cimoliopterus_dunni;Pteranodontoidea;Ornithocheiroidea;Pteranodontoidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Coloborhynchus_clavirostris;Anhangueridae;Ornithocheiroidea;;Pteranodontoidea;Anhangueridae
Cretornis_hlavaci;Azhdarchoidea;Pterodactyloidea;Azhdarchoidea;Azhdarchoidea;NO_FAMILY_SPECIFIED
Ctenochasma_elegans;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Ctenochasma_porocristata;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Cuspicephalus_scarfi;Macronychoptera;Pterosauria;Macronychoptera;;NO_FAMILY_SPECIFIED
Cycnorhamphus_suevicus;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Darwinopterus_linglongtaensis;Macronychoptera;Pterosauria;Macronychoptera;;NO_FAMILY_SPECIFIED
Darwinopterus_modularis;Macronychoptera;Pterosauria;Macronychoptera;;NO_FAMILY_SPECIFIED
Darwinopterus_robustodens;Macronychoptera;Pterosauria;Macronychoptera;;NO_FAMILY_SPECIFIED
Dendrorhynchoides_curvidentatus;Anurognathidae;;;;Anurognathidae
Dendrorhynchoides_mutoudengensis;Anurognathidae;;;;Anurognathidae
Dimorphodon_macronyx;Dimorphodontidae;;;;Dimorphodontidae
Domeykodactylus_ceciliae;Dsungaripteridae;Azhdarchoidea;;Azhdarchoidea;Dsungaripteridae
Dorygnathus_banthensis;Rhamphorhynchidae;;;;Rhamphorhynchidae
Douzhanopterus_zhengi;Macronychoptera;Pterosauria;Macronychoptera;;NO_FAMILY_SPECIFIED
Dsungaripterus_weii;Dsungaripteridae;;;Azhdarchoidea;Dsungaripteridae
Elanodactylus_prolatus;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Eoazhdarcho_liaoxiensis;Azhdarchidae;;;Azhdarchoidea;Azhdarchidae
Eopteranodon_lii;Azhdarchoidea;Pterosauria;Azhdarchoidea;Azhdarchoidea;NO_FAMILY_SPECIFIED
Eosipterus_yangi;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Eudimorphodon_ranzii;Campylognathoididae;;;;Campylognathoididae
Eudimorphodon_rosenfeldi;Campylognathoididae;;;;Campylognathoididae
Eurazhdarcho_langendorfensis;Azhdarchidae;;;Azhdarchoidea;Azhdarchidae
Europejara_olcadesorum;Azhdarchoidea;Pterodactyloidea;Azhdarchoidea;Azhdarchoidea;NO_FAMILY_SPECIFIED
Feilongus_youngi;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Fenghuangopterus_lii;Scaphognathidae;;;;Scaphognathidae
Gallodactylus_canjuersensis;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Germanodactylus_cristatus;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Germanodactylus_rhamphastinus;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Gnathosaurus_macrurus;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Gnathosaurus_subulatus;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Guidraco_venator;Ornithocheiroidea;Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Haopterus_gracilis;Mimodactylidae;Ornithocheiroidea;;Pteranodontoidea;Mimodactylidae
Harpactognathus_gentryii;Macronychoptera;Pterosauria;Macronychoptera;;NO_FAMILY_SPECIFIED
Hongshanopterus_lacustris;Ornithocheiroidea;Ornithocheiroidea;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Huanhepterus_quingyangensis;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Huaxiapterus_benxiensis;Tapejaridae;;;Azhdarchoidea;Tapejaridae
Huaxiapterus_jii;Tapejaridae;;;Azhdarchoidea;Tapejaridae
Istiodactylus_latidens;Ornithocheiroidea;Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Istiodactylus_sinensis;Ornithocheiroidea;Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Jeholopterus_ningchengensis;Anurognathidae;;;;Anurognathidae
Jidapterus_edentus;Tapejaridae;;;Azhdarchoidea;Tapejaridae
Kepodactylus_insperatus;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Kryptodrakon_progenitor;Pterodactyloidea;Pterosauria;Pterodactyloidea;;NO_FAMILY_SPECIFIED
Kunpengopterus_sinensis;Wukongopteridae;;;;Wukongopteridae
Lacusovagus_magnificens;Chaoyangopteridae;Azhdarchoidea;;Azhdarchoidea;Chaoyangopteridae
Liaodactylus_primus;Ctenochasmatidae;;;;Ctenochasmatidae
Liaoningopterus_gui;Ornithocheiroidea;Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Liaoxipterus_brachyognathus;Istiodactylidae;Ornithocheiroidea;;Pteranodontoidea;Istiodactylidae
Lonchodectes_compressirostris;Ornithocheiroidea;Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Lonchodraco_giganteus;Lonchodraconidae;;;;Lonchodraconidae
Longchengpterus_zhaoi;Ornithocheiroidea;Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Ludodactylus_sibbicki;Ornithocheiroidea;Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Microtuban_altivolans;Azhdarchoidea;Pterodactyloidea;Azhdarchoidea;Azhdarchoidea;NO_FAMILY_SPECIFIED
Moganopterus_zhuiana;Boreopteridae;;;;Boreopteridae
Montanazhdarcho_minor;Azhdarchidae;;;Azhdarchoidea;Azhdarchidae
Muzquizopteryx_coahuilensis;Nyctosauridae;;;Pteranodontoidea;Nyctosauridae
Nemicolopterus_crypticus;Azhdarchoidea;Pterodactyloidea;Azhdarchoidea;Azhdarchoidea;NO_FAMILY_SPECIFIED
Nesodactylus_hesperius;Rhamphorhynchidae;;;;Rhamphorhynchidae
Noripterus_complicidens;Dsungaripteridae;;;Azhdarchoidea;Dsungaripteridae
Noripterus_parvus;Dsungaripteridae;;;Azhdarchoidea;Dsungaripteridae
Normannognathus_wellnhoferi;Lophocratia;Pterodactyloidea;Lophocratia;;NO_FAMILY_SPECIFIED
Nurhachius_ignaciobritoi;Ornithocheiroidea;Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Nyctosaurus_gracilis;Pterodactyloidea;Pterosauria;Pterodactyloidea;;NO_FAMILY_SPECIFIED
Nyctosaurus_lamegoi;Pterodactyloidea;Pterosauria;Pterodactyloidea;;NO_FAMILY_SPECIFIED
Nyctosaurus_nanus;Pterodactyloidea;Pterosauria;Pterodactyloidea;;NO_FAMILY_SPECIFIED
Orientognathus_chaoyangensis;Rhamphorhynchidae;;;;Rhamphorhynchidae
Ornithocheirus_simus;Ornithocheiroidea;Pteranodontia;Ornithocheiroidea;Pteranodontoidea;NO_FAMILY_SPECIFIED
Ornithostoma_sedgwicki;Azhdarchoidea;Pterodactyloidea;Azhdarchoidea;Azhdarchoidea;NO_FAMILY_SPECIFIED
Parapsicephalus_purdoni;Macronychoptera;Pterosauria;Macronychoptera;;NO_FAMILY_SPECIFIED
Phosphatodraco_mauritanicus;Azhdarchidae;;;Azhdarchoidea;Azhdarchidae
