accepted_name,FAD,LAD
Aerodraco sedgwickii,106.2,100.5
Aerotitan sudamericanus,83.6,66
Aetodactylus halli,100.5,93.9
Afrotapejara zouhri,106.2,93.9
Agadirichnus elegans,72.1,66
Alamodactylus byrdi,89.8,86.3
Alanqa saharica,100.5,93.9
Albadraco tharmisensis,72.1,66
Alcione elainus,72.1,66
Allkaruen koi,180.4,168.6
Angustinaripterus longicephalus,170.9,154.8
Anhanguera araripensis,119.5,113
Anhanguera blittersdorffi,119.5,113
Anhanguera cuvieri,106.2,100.5
Anhanguera ligabuei,119.5,113
Anhanguera piscator,119.5,93.9
Anhanguera robustus,119.5,113
Anhanguera santanae,119.5,113
Anmolpakhi alleni,72.1,66
Antipus bifidus,201.4,192.9
Anurognathus ammoni,149.2,146.3
Apatorhamphus gyrostega,100.5,93.9
Aralazhdarcho bostobensis,86.3,72.1
Arambourgiania philadelphiae,72.1,66
Archaeoistiodactylus linglongtaensis,168.2,152.2
Arcticodactylus cromptonellus,227,208.5
Ardeadactylus longicollum,152.2,146.3
Arthurdactylus conandoylei,119.5,113
Aurorazhdarcho primordius,149.2,146.3
Aussiedraco molnari,109.9,100.5
Austriadactylus cristatus,216.7,208.5
Austriadraco dallavecchiai,213.2,208.5
Aymberedactylus cearensis,119.5,113
Azhdarcho lancicollis,93.9,89.8
Bakonydraco galaczi,86.3,83.6
Balaenognathus maeuseri,152.2,149.2
Banguela oberlii,119.5,113
Barbaridactylus grandis,72.1,66
Barbosania gracilirostris,119.5,113
Batrachognathus volans,161.5,154.8
Beipiaopterus chenianus,125.77,119.5
Bellubrunnus rothgaengeri,152.2,149.2
Bennettazhia oregonensis,113,100.5
Bergamodactylus wildi,216.7,213.2
Bogolubovia orientalis,83.6,72.1
Boreopterus cuiae,125.77,119.5
Boreopterus giganticus,125.77,119.5
Brasileodactylus araripensis,119.5,113
Cacibupteryx caribensis,161.5,154.8
Caelestiventus hanseni,237,174.7
Caiuajara dobruskii,121.4,72.1
Camposipterus nasutus,106.2,100.5
Campylognathoides liasicus,184.2,182.9
Campylognathoides zitteli,184.2,182.9
Cathayopterus grabaui,125.77,119.5
Caulkicephalus trimicrodon,125.77,121.4
Caupedactylus ybaka,119.5,113
Caviramus schesaplanensis,213.2,201.4
Cearadactylus atrox,119.5,113
Changchengopterus pani,168.2,152.2
Chaoyangopterus zhangi,121.4,113
Cimoliopterus cuvieri,100.5,89.8
Cimoliopterus dunni,100.5,93.9
Coloborhynchus clavirostris,140.6,132.6
Coloborhynchus moroccensis,100.5,93.9
Cretornis hlavaci,93.9,89.8
Cryodrakon boreas,83.6,72.1
Ctenochasma elegans,149.2,146.3
Ctenochasma porocristata,149.2,146.3
Ctenochasma roemeri,145,139.8
Ctenochasma taqueti,149.2,146.3
