"";"Name";"Including.in.analyses";"Ontogeny";"Specimen";"hu_length";"ulna_length";"ra_length";"McIV_length";"f1d4_length";"f2d4_length";"f3d4_length";"f4d4_length";"Femur";"Tibia";"Reference"
"341";"Mesadactylus_ornithosphyos";"NO";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Benson et al 2014"
"334";"Herbstosaurus_pigmaeus";"NO";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Benson et al 2014"
"367";"Tendaguripterus_recki";"NO";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Benson et al 2014"
"344";"Ningchengopterus_liuae";"NO";"";NA;15;"20,0";NA;"15,0";"20,0";"19,5";"14,0";NA;"14,0";NA;"Chan 2017"
"179";"Peteinosaurus_zambelli";"YES";"Skeletal fusion characters suggest immaturity";"MCSNB 3359 (only tentatively referred [Dalla Vecchia 2003], but closely similar in size and propostions to the less complete holotype [MCSNB 2886])";39;"49,5";NA;"17";"42,5";"42,5";"46,5";"35";"37,0";"48,0";"Benson et al 2014&Chan 2017"
"317";"Arthurdactylus_conandoylei";"NO";"Adult";"SMK PAL 1132";230;"312,0";NA;"227,0";"445,0";"402,0";"312,0";"275,0";"190,0";"234,0";"Chan 2017"
"366";"Rhamphocephalus_bucklandi";"NO";"Adult";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Benson et al 2014"
"332";"Geosternbergia_maiseyi";"NO";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Benson et al 2014"
"328";"Dawndraco_kanzai";"NO";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Benson et al 2014"
"369";"Unwindia_trigonus";"NO";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Benson et al 2014"
