collection_no,occurrence_no,accepted_name,early_interval,late_interval,max_ma,min_ma,plng,plat,MAT,seasonal_temp,MAP,seasonal_precip
10761,130279,Dendrorhynchoides curvidentatus,Late Barremian,Early Aptian,125.77,119.5,122.041001450753,43.9216893261999,15.01529337565106,46.536041259765604,2.7562593155986793e-5,2.62482844846091e-5
11804,138851,Pterosauria,Early Cenomanian,NA,100.5,93.9,29.0374090657368,11.4298552236194,31.355332946777366,5.5442199707032,1.404546404160101e-5,4.4705016875923313e-5
13271,149867,Lagerpeton chanarensis,Ladinian,NA,242,237,-37.7653031372926,-49.8788434417131,24.21721038818361,46.970245361328125,5.586053489992084e-6,9.259847331577475e-6
13283,149986,Rhamphinion jenkinsi,Sinemurian,Pliensbachian,199.5,184.2,-53.8084783408868,20.3882752051124,30.88974660237631,19.067138671875,1.4469961548968517e-6,4.8717324787617144e-6
13335,150243,Eurolimnornis corneti,Berriasian,NA,145,139.8,NA,NA,-12.0081733703613,35.7286682128906,0,0
13335,150244,Palaeocursornis,Berriasian,NA,145,139.8,NA,NA,-12.0081733703613,35.7286682128906,0,0
13335,150245,Pterodactyloidea,Berriasian,NA,145,139.8,NA,NA,-12.0081733703613,35.7286682128906,0,0
13335,150250,Dsungaripteroidea,Berriasian,NA,145,139.8,NA,NA,-12.0081733703613,35.7286682128906,0,0
13366,150603,Arambourgiania philadelphiae,Maastrichtian,NA,72.1,66,29.9447010671582,15.9286292115518,33.19744262695313,11.0490417480469,2.3615449152932417e-5,8.6561796123874e-5
22710,220153,Pterodaustro guinazui,Albian,NA,113,100.5,-39.7658772762813,-38.3574267447835,17.87429962158204,21.308135986328104,1.8759920673498232e-5,9.6419271358172e-6
24257,248588,Pterodactyloidea,Late Campanian,NA,83.6,72.1,-73.412416751762,31.823035213045902,22.161673482259125,19.873443603515597,2.2132204549052383e-5,2.790586950141e-5
24883,256478,Angustinaripterus longicephalus,Bajocian,Oxfordian,170.9,154.8,109.279928285952,29.1115755050291,26.083393351236992,30.2442016601562,1.6170223489098134e-5,6.11725326962187e-5
25658,266832,Piksi barbarulna,Middle Campanian,NA,83.6,72.1,-76.5807785042659,56.0761726027376,12.169554646809905,27.256683349609354,2.6325054174473426e-5,2.2059404727770097e-5
26092,272322,Lagerpeton chanarensis,Ladinian,NA,242,237,-37.7160385407155,-49.9105244086625,24.21721038818361,46.970245361328125,5.586053489992084e-6,9.259847331577475e-6
26995,283819,Arcticodactylus cromptonellus,Norian,NA,227,208.5,-1.19401788259445,44.7280220534629,21.667062377929703,34.01806640624998,7.285974864619979e-6,8.31230363473879e-6
12816,290387,Rhamphorhynchoidea,Kimmeridgian,Tithonian,154.8,145,-53.5951149866355,38.0206512581772,25.621308898925786,35.128143310546875,2.3501335325211885e-6,1.80786639703001e-6
27891,292854,Jeholopterus ningchengensis,Early Callovian,NA,165.3,161.5,122.939831863202,43.5353818597506,17.026966349283867,43.390167236328104,3.316018008566365e-5,3.43836554748122e-5
28004,293760,Pteraichnus,Early Cenomanian,NA,100.5,93.9,-46.165067588393,-46.2225155863321,21.193050638834634,21.024688720703104,1.826574377143214e-5,3.922461564798146e-5
28233,295294,Huanhepterus quingyangensis,Valanginian,Albian,139.8,100.5,109.563473350385,37.3868608080949,17.624538675944034,34.089202880859375,2.763748792252349e-5,4.5179601329437e-5
28506,297459,Dorygnathus banthensis,Early Toarcian,NA,184.2,182.9,18.402698382292,39.1472801234687,20.151811218261738,36.53359985351565,2.550281078583795e-5,2.06189215532504e-5
28406,298936,Azhdarcho,Late Campanian,NA,83.6,72.1,0.874499233311746,32.4137896505321,19.403665161132835,11.933959960937502,3.642110133720659e-5,5.8217877267452395e-5
28919,300496,Pterosauria,Valanginian,Albian,139.8,100.5,86.1843685174002,44.7774968979009,13.306568400065121,44.898773193359354,1.6087261646665258e-5,2.398721983354337e-5
31054,303968,Rhamphocephalus,Early Bathonian,NA,168.2,165.3,8.45201091078714,41.4427662184924,19.518329874674496,31.521850585937447,2.763515931292205e-5,1.0340430890209997e-5
31054,303969,Pterosauria,Early Bathonian,NA,168.2,165.3,8.45201091078714,41.4427662184924,19.518329874674496,31.521850585937447,2.763515931292205e-5,1.0340430890209997e-5
31054,303970,Pterosauria,Early Bathonian,NA,168.2,165.3,8.45201091078714,41.4427662184924,19.518329874674496,31.521850585937447,2.763515931292205e-5,1.0340430890209997e-5
32324,343782,Ornithocheiridae,Barremian,NA,125.77,121.4,138.055454930996,46.1116137485962,17.049826558431,15.754211425781302,4.2925764015914566e-5,3.4913828130811405e-5
32324,343784,Dsungaripteroidea,Barremian,NA,125.77,121.4,138.055454930996,46.1116137485962,17.049826558431,15.754211425781302,4.2925764015914566e-5,3.4913828130811405e-5
27887,370545,Pterodactyloidea,Late Campanian,Early Maastrichtian,83.6,66,-170.535955250577,-58.7646082528662,8.058531697591173,20.54702758789065,4.122034988540689e-5,2.7125959604745704e-5
35290,372853,Azhdarchidae,Late Campanian,Early Maastrichtian,83.6,66,2.47059269325247,34.1158292915956,22.455603535970077,13.4934387207032,4.585636073291728e-5,5.7283572459709803e-5
35294,372890,Uktenadactylus wadleighi,Late Albian,NA,106.2,100.5,-58.2600536642634,30.8474462160813,27.6633010864258,11.800903320312496,1.137634986510723e-5,2.704981170609241e-5
35360,373610,Pterosauria,Late Campanian,NA,83.6,72.1,-74.2448987633097,31.3729326352823,22.161673482259125,19.873443603515597,2.2132204549052383e-5,2.790586950141e-5
36570,384335,Pterosauria,Late Campanian,NA,83.6,72.1,-73.6314126154036,57.6185296082404,12.141002909342477,29.89794921875,2.0453226018920175e-5,2.00701852008933e-5
36934,386854,Azhdarchidae,Campanian,NA,83.6,72.1,-76.2157087051968,55.111030882762,12.169554646809905,27.256683349609354,2.6325054174473426e-5,2.2059404727770097e-5
27887,388844,Pterosauria,Late Campanian,Early Maastrichtian,83.6,66,-170.535955250577,-58.7646082528662,8.058531697591173,20.54702758789065,4.122034988540689e-5,2.7125959604745704e-5
28765,388985,Azhdarcho,Late Campanian,NA,83.6,72.1,0.874499233311746,32.4137896505321,19.403665161132835,11.933959960937502,3.642110133720659e-5,5.8217877267452395e-5
37596,391676,Rhamphorhynchinae,Callovian,NA,165.3,161.5,76.2331412344578,40.8698725756944,22.001255289713548,40.645477294921825,2.0564208095189926e-5,3.628850345194223e-5
37597,391692,Pterosauria,Callovian,NA,165.3,161.5,76.1851761702875,40.7731701191392,22.001255289713548,40.645477294921825,2.0564208095189926e-5,3.628850345194223e-5
22689,392717,Azhdarchidae,Campanian,NA,83.6,72.1,-79.0830593387065,56.3681676838427,9.090089416503933,25.9084777832031,4.0118844784349975e-5,1.59657756739761e-5
22689,392719,Pterosauria,Campanian,NA,83.6,72.1,-79.0830593387065,56.3681676838427,9.090089416503933,25.9084777832031,4.0118844784349975e-5,1.59657756739761e-5
38542,401733,Pterosauria,Early Albian,NA,113,109.9,124.780057408997,-70.9788142128482,-1.8402008056640347,44.8161010742187,2.1008204763954076e-5,3.658448986243457e-5
39075,405993,Rhamphorhynchoidea,Late Bathonian,NA,168.2,165.3,8.90181800305044,41.351544676575,19.518329874674496,31.521850585937447,2.763515931292205e-5,1.0340430890209997e-5
39075,405994,Pterosauria,Late Bathonian,NA,168.2,165.3,8.90181800305044,41.351544676575,19.518329874674496,31.521850585937447,2.763515931292205e-5,1.0340430890209997e-5
39344,408757,Pterodactyloidea,Kimmeridgian,Tithonian,154.8,145,-53.6697340666387,38.017143319639104,25.621308898925786,35.128143310546875,2.3501335325211885e-6,1.80786639703001e-6
12816,408782,Pterosauria,Kimmeridgian,Tithonian,154.8,145,-53.5951149866355,38.0206512581772,25.621308898925786,35.128143310546875,2.3501335325211885e-6,1.80786639703001e-6
45726,463326,Pterosauria,Late Tithonian,Early Berriasian,146.3,142.7,1.40243969346477,25.4738055861725,28.34698638916017,17.994079589843697,1.0861447255668577e-5,2.265995988182111e-5
45726,463327,Pterosauria,Late Tithonian,Early Berriasian,146.3,142.7,1.40243969346477,25.4738055861725,28.34698638916017,17.994079589843697,1.0861447255668577e-5,2.265995988182111e-5
14585,464160,Pterosauria,Late Maastrichtian,NA,72.1,66,-78.3955350656447,49.9708598363196,17.81156056722007,41.55975341796875,1.2839512010032208e-5,1.238990671481591e-5
45975,465129,Dsungaripteroidea,Late Kimmeridgian,Early Tithonian,152.2,146.3,-61.2332688509011,35.2001929736518,18.464095052083344,29.0371398925781,6.791933647794701e-6,6.92038133820461e-6
45975,465131,Mesadactylus ornithosphyos,Late Kimmeridgian,Early Tithonian,152.2,146.3,-61.2332688509011,35.2001929736518,18.464095052083344,29.0371398925781,6.791933647794701e-6,6.92038133820461e-6
45975,465142,Pterodactyloidea,Late Kimmeridgian,Early Tithonian,152.2,146.3,-61.2332688509011,35.2001929736518,18.464095052083344,29.0371398925781,6.791933647794701e-6,6.92038133820461e-6
46118,465715,Rhamphorhynchidae,Hettangian,Sinemurian,201.4,192.9,2.73586651795843,39.0988299615043,25.076893107096375,43.321624755859354,4.6324568074851405e-6,3.22808523378626e-6
46389,467298,Pterosauria,Toarcian,Aalenian,184.2,170.9,31.5514934043585,-31.9747213240575,30.9330052693685,38.9779663085937,1.338955136039506e-5,4.181982973250343e-5
46565,468640,Pteranodon,Early Campanian,NA,83.6,72.1,-43.7062352763423,38.5178232919159,22.61346079508466,23.511016845703097,4.131633249926381e-5,2.8380076400935704e-5
46905,472013,Pterosauria,Valanginian,Albian,139.8,100.5,110.979887585586,41.092313257474,17.545683797200528,35.42556762695315,3.196494056586138e-5,5.024867641623129e-5
46934,472315,Pterosauria,Valanginian,Albian,139.8,100.5,109.339337748862,41.0612915355889,18.437801615397152,37.36602783203128,1.8436142530238918e-5,2.3889520889497376e-5
